Pressure_Rel,GyroX_Rel,GyroY_Rel,GyroZ_Rel,AccX_Rel,AccY_Rel,AccZ_Rel,Timestamp,Pressure_abs,HeartRate,Oxygen,Status,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
8.331055,5.936865E-4,-0.004329391,-5.6015886E-4,0.28,0.83,0.5,14253,10057.90,0,0,2,-0.28,-1.75,0.56,0.28,0.83,0.50
8.331055,-4.0631322E-4,-0.005329391,4.3984037E-4,0.27,0.83,0.5,14277,10057.90,0,0,2,-0.35,-1.82,0.63,0.27,0.83,0.50
8.331055,5.936865E-4,-3.2939017E-4,4.3984037E-4,0.27,0.84,0.5,14299,10057.90,0,0,2,-0.28,-1.47,0.63,0.27,0.84,0.50
9.331055,0.0015936869,0.004670609,0.0024398407,0.27,0.83,0.5,14314,10058.90,0,0,2,-0.21,-1.12,0.77,0.27,0.83,0.50
8.331055,0.0015936869,0.00967061,0.004439841,0.28,0.83,0.5,14328,10057.90,0,0,2,-0.21,-0.77,0.91,0.28,0.83,0.50
8.630859,-4.0631322E-4,0.00967061,0.0064398404,0.28,0.83,0.5,14344,10058.20,0,0,2,-0.35,-0.77,1.05,0.28,0.83,0.50
8.630859,-0.0024063135,0.006670609,0.00943984,0.28,0.83,0.5,14367,10058.20,0,0,2,-0.49,-0.98,1.26,0.28,0.83,0.50
9.030273,-4.0631322E-4,0.0016706083,0.010439842,0.28,0.84,0.5,14382,10058.60,0,0,2,-0.35,-1.33,1.33,0.28,0.84,0.50
9.630859,0.005593687,6.7061E-4,0.013439841,0.27,0.84,0.5,14404,10059.20,0,0,3,0.07,-1.40,1.54,0.27,0.84,0.50
5.6308594,0.010593686,0.006670609,0.00943984,0.28,0.83,0.5,14419,10055.20,0,0,3,0.42,-0.98,1.26,0.28,0.83,0.50
9.030273,0.0035936865,0.00567061,0.010439842,0.28,0.83,0.5,14442,10058.60,0,0,3,-0.07,-1.05,1.33,0.28,0.83,0.50
9.030273,0.0015936869,0.004670609,0.015439839,0.28,0.83,0.5,14465,10058.60,0,0,3,-0.21,-1.12,1.68,0.28,0.83,0.50
8.630859,0.0045936867,0.004670609,0.02043984,0.28,0.83,0.5,14487,10058.20,0,0,3,0.00,-1.12,2.03,0.28,0.83,0.50
6.6308594,0.005593687,0.0076706093,0.019439843,0.28,0.83,0.5,14509,10056.20,0,0,3,0.07,-0.91,1.96,0.28,0.83,0.50
8.630859,0.0075936867,0.00867061,0.01843984,0.28,0.83,0.5,14532,10058.20,0,0,3,0.21,-0.84,1.89,0.28,0.83,0.50
8.630859,0.011593686,0.00867061,0.01643984,0.28,0.83,0.49,14546,10058.20,0,0,3,0.49,-0.84,1.75,0.28,0.83,0.49
7.6308594,0.011593686,0.0076706093,0.013439841,0.28,0.83,0.5,14569,10057.20,0,0,3,0.49,-0.91,1.54,0.28,0.83,0.50
8.630859,0.013593687,0.00967061,0.014439841,0.28,0.83,0.5,14584,10058.20,0,0,3,0.63,-0.77,1.61,0.28,0.83,0.50
9.030273,0.014593687,0.00967061,0.017439842,0.28,0.83,0.5,14599,10058.60,0,0,3,0.70,-0.77,1.82,0.28,0.83,0.50
9.030273,0.016593685,0.01067061,0.017439842,0.28,0.83,0.5,14615,10058.60,0,0,3,0.84,-0.70,1.82,0.28,0.83,0.50
8.630859,0.018593688,0.012670609,0.02143984,0.28,0.84,0.5,14629,10058.20,0,0,3,0.98,-0.56,2.10,0.28,0.84,0.50
10.630859,0.021593688,0.01167061,0.014439841,0.28,0.83,0.5,14651,10060.20,0,0,3,1.19,-0.63,1.61,0.28,0.83,0.50
5.6308594,0.013593687,0.013670609,0.0124398405,0.28,0.83,0.5,14674,10055.20,0,0,3,0.63,-0.49,1.47,0.28,0.83,0.50
7.6308594,0.0065936865,0.01467061,0.01643984,0.28,0.83,0.49,14696,10057.20,0,0,3,0.14,-0.42,1.75,0.28,0.83,0.49
7.6308594,0.0045936867,0.017670609,0.0124398405,0.28,0.84,0.49,14712,10057.20,0,0,3,0.00,-0.21,1.47,0.28,0.84,0.49
9.030273,0.0065936865,0.02367061,0.0064398404,0.28,0.83,0.49,14734,10058.60,0,0,3,0.14,0.21,1.05,0.28,0.83,0.49
8.630859,-0.0014063129,0.02067061,0.0014398405,0.28,0.83,0.49,14756,10058.20,0,0,3,-0.42,0.00,0.70,0.28,0.83,0.49
8.030273,-0.0024063135,0.01067061,-5.6015886E-4,0.28,0.83,0.49,14778,10057.60,0,0,3,-0.49,-0.70,0.56,0.28,0.83,0.49
8.030273,-0.0074063125,0.004670609,0.005439841,0.28,0.83,0.5,14800,10057.60,0,0,3,-0.84,-1.12,0.98,0.28,0.83,0.50
11.030273,-0.005406313,0.0016706083,0.008439842,0.28,0.83,0.5,14817,10060.60,0,0,3,-0.70,-1.33,1.19,0.28,0.83,0.50
9.331055,-0.005406313,-3.2939017E-4,0.0074398415,0.28,0.84,0.5,14831,10058.90,0,0,3,-0.70,-1.47,1.12,0.28,0.84,0.50
8.331055,5.936865E-4,6.7061E-4,0.0124398405,0.28,0.84,0.5,14847,10057.90,0,0,3,-0.28,-1.40,1.47,0.28,0.84,0.50
9.030273,0.0015936869,6.7061E-4,0.013439841,0.28,0.84,0.5,14861,10058.60,0,0,3,-0.21,-1.40,1.54,0.28,0.84,0.50
8.331055,0.0045936867,0.0036706086,0.0124398405,0.28,0.84,0.5,14876,10057.90,0,0,3,0.00,-1.19,1.47,0.28,0.84,0.50
7.0302734,0.008593687,0.01167061,0.005439841,0.28,0.84,0.5,14899,10056.60,0,0,3,0.28,-0.63,0.98,0.28,0.84,0.50
4.0302734,0.012593687,0.017670609,-5.6015886E-4,0.28,0.83,0.49,14921,10053.60,0,0,3,0.56,-0.21,0.56,0.28,0.83,0.49
8.331055,0.012593687,0.015670609,-0.004560159,0.28,0.84,0.49,14944,10057.90,0,0,3,0.56,-0.35,0.28,0.28,0.84,0.49
8.331055,0.011593686,0.01167061,-0.004560159,0.28,0.84,0.49,14966,10057.90,0,0,3,0.49,-0.63,0.28,0.28,0.84,0.49
9.331055,0.0065936865,0.006670609,-0.0055601597,0.28,0.83,0.49,14989,10058.90,0,0,3,0.14,-0.98,0.21,0.28,0.83,0.49
9.331055,0.0015936869,0.0016706083,-0.006560159,0.28,0.83,0.49,15019,10058.90,0,0,3,-0.21,-1.33,0.14,0.28,0.83,0.49
9.630859,5.936865E-4,-0.0023293905,-0.008560159,0.28,0.83,0.49,15027,10059.20,0,0,3,-0.28,-1.61,0.00,0.28,0.83,0.49
9.331055,-0.0014063129,-0.005329391,-0.004560159,0.28,0.83,0.5,15049,10058.90,0,0,3,-0.42,-1.82,0.28,0.28,0.83,0.50
9.030273,-0.004406313,-0.013329392,-0.004560159,0.28,0.84,0.49,15071,10058.60,0,0,3,-0.63,-2.38,0.28,0.28,0.84,0.49
9.331055,0.0025936866,-0.017329393,-0.007560159,0.28,0.85,0.49,15086,10058.90,0,0,3,-0.14,-2.66,0.07,0.28,0.85,0.49
9.331055,0.0075936867,-0.018329391,-0.008560159,0.27,0.84,0.5,15101,10058.90,0,0,3,0.21,-2.73,0.00,0.27,0.84,0.50
8.331055,0.0065936865,-0.015329389,-0.012560159,0.27,0.83,0.5,15116,10057.90,0,0,3,0.14,-2.52,-0.28,0.27,0.83,0.50
10.630859,0.0015936869,-0.013329392,-0.011560159,0.27,0.83,0.5,15131,10060.20,0,0,3,-0.21,-2.38,-0.21,0.27,0.83,0.50
10.030273,-0.012406314,-0.015329389,4.3984037E-4,0.28,0.84,0.5,15153,10059.60,0,0,3,-1.19,-2.52,0.63,0.28,0.84,0.50
11.030273,-0.008406313,-0.013329392,0.004439841,0.27,0.84,0.49,15177,10060.60,0,0,3,-0.91,-2.38,0.91,0.27,0.84,0.49
8.331055,0.0035936865,-0.006329391,-0.001560159,0.27,0.84,0.49,15199,10057.90,0,0,3,-0.07,-1.89,0.49,0.27,0.84,0.49
9.331055,0.010593686,-0.0033293888,-0.0035601594,0.27,0.83,0.49,15213,10058.90,0,0,3,0.42,-1.68,0.35,0.27,0.83,0.49
9.630859,0.010593686,-0.00932939,-0.0025601597,0.28,0.83,0.49,15236,10059.20,0,0,3,0.42,-2.10,0.42,0.28,0.83,0.49
9.630859,0.005593687,-0.01232939,4.3984037E-4,0.27,0.83,0.5,15259,10059.20,0,0,3,0.07,-2.31,0.63,0.27,0.83,0.50
13.730469,0.005593687,-0.006329391,0.00943984,0.28,0.83,0.5,15281,10063.30,0,0,3,0.07,-1.89,1.26,0.28,0.83,0.50
10.630859,0.0025936866,-0.004329391,0.015439839,0.28,0.83,0.49,15296,10060.20,0,0,3,-0.14,-1.75,1.68,0.28,0.83,0.49
9.630859,0.0045936867,-0.0073293913,0.017439842,0.28,0.84,0.5,15319,10059.20,0,0,3,0.00,-1.96,1.82,0.28,0.84,0.50
8.630859,0.0035936865,-0.006329391,0.024439842,0.28,0.84,0.49,15334,10058.20,0,0,3,-0.07,-1.89,2.31,0.28,0.84,0.49
9.630859,0.0025936866,-0.0033293888,0.017439842,0.28,0.84,0.5,15349,10059.20,0,0,3,-0.14,-1.68,1.82,0.28,0.84,0.50
9.630859,-0.005406313,-3.2939017E-4,0.0064398404,0.28,0.83,0.5,15363,10059.20,0,0,3,-0.70,-1.47,1.05,0.28,0.83,0.50
10.030273,-0.009406313,-3.2939017E-4,0.005439841,0.28,0.84,0.5,15378,10059.60,0,0,3,-0.98,-1.47,0.98,0.28,0.84,0.50
11.630859,-0.013406312,6.7061E-4,-0.0025601597,0.28,0.84,0.49,15401,10061.20,0,0,3,-1.26,-1.40,0.42,0.28,0.84,0.49
8.630859,-0.011406314,-3.2939017E-4,-0.01056016,0.27,0.84,0.49,15424,10058.20,0,0,3,-1.12,-1.47,-0.14,0.27,0.84,0.49
8.030273,-0.009406313,-0.0013293903,-0.015560159,0.28,0.83,0.49,15446,10057.60,0,0,3,-0.98,-1.54,-0.49,0.28,0.83,0.49
10.030273,-0.010406313,-0.004329391,-0.015560159,0.27,0.83,0.49,15461,10059.60,0,0,3,-1.05,-1.75,-0.49,0.27,0.83,0.49
9.630859,-0.009406313,-0.01232939,-0.014560159,0.27,0.83,0.49,15484,10059.20,0,0,3,-0.98,-2.31,-0.42,0.27,0.83,0.49
11.030273,-0.005406313,-0.01932939,-0.012560159,0.26,0.84,0.49,15506,10060.60,0,0,3,-0.70,-2.80,-0.28,0.26,0.84,0.49
10.030273,-0.0064063133,-0.02132939,-0.008560159,0.27,0.83,0.49,15529,10059.60,0,0,3,-0.77,-2.94,0.00,0.27,0.83,0.49
10.030273,-0.008406313,-0.02132939,0.0014398405,0.27,0.83,0.49,15551,10059.60,0,0,3,-0.91,-2.94,0.70,0.27,0.83,0.49
10.030273,-0.013406312,-0.020329388,0.0074398415,0.27,0.83,0.49,15566,10059.60,0,0,3,-1.26,-2.87,1.12,0.27,0.83,0.49
9.030273,-0.015406312,-0.020329388,0.0124398405,0.28,0.83,0.49,15581,10058.60,0,0,3,-1.40,-2.87,1.47,0.28,0.83,0.49
12.030273,-0.018406313,-0.02132939,0.017439842,0.28,0.83,0.5,15596,10061.60,0,0,3,-1.61,-2.94,1.82,0.28,0.83,0.50
10.030273,-0.016406313,-0.020329388,0.019439843,0.28,0.84,0.5,15611,10059.60,0,0,3,-1.47,-2.87,1.96,0.28,0.84,0.50
11.630859,-0.014406314,-0.01932939,0.01843984,0.28,0.84,0.5,15626,10061.20,0,0,3,-1.33,-2.80,1.89,0.28,0.84,0.50
11.030273,-0.004406313,-0.01632939,0.02143984,0.28,0.84,0.5,15648,10060.60,0,0,3,-0.63,-2.59,2.10,0.28,0.84,0.50
12.331055,0.0035936865,-0.01932939,0.024439842,0.29,0.84,0.5,15671,10061.90,0,0,3,-0.07,-2.80,2.31,0.29,0.84,0.50
11.331055,0.0075936867,-0.02132939,0.02143984,0.29,0.84,0.5,15694,10060.90,0,0,3,0.21,-2.94,2.10,0.29,0.84,0.50
10.331055,0.010593686,-0.013329392,0.014439841,0.29,0.84,0.5,15717,10059.90,0,0,3,0.42,-2.38,1.61,0.29,0.84,0.50
10.331055,0.009593686,-0.011329392,0.0124398405,0.29,0.84,0.5,15731,10059.90,0,0,3,0.35,-2.24,1.47,0.29,0.84,0.50
10.030273,0.013593687,-0.0013293903,0.0024398407,0.28,0.83,0.5,15753,10059.60,0,0,3,0.63,-1.54,0.77,0.28,0.83,0.50
9.331055,0.014593687,-0.0023293905,-0.0055601597,0.28,0.84,0.5,15777,10058.90,0,0,3,0.70,-1.61,0.21,0.28,0.84,0.50
10.331055,0.015593687,-0.010329392,-0.004560159,0.28,0.83,0.5,15799,10059.90,0,0,3,0.77,-2.17,0.28,0.28,0.83,0.50
10.331055,0.008593687,-0.01232939,-0.008560159,0.29,0.83,0.49,15814,10059.90,0,0,3,0.28,-2.31,0.00,0.29,0.83,0.49
11.331055,0.009593686,-0.014329391,-0.001560159,0.29,0.83,0.49,15828,10060.90,0,0,3,0.35,-2.45,0.49,0.29,0.83,0.49
10.630859,0.015593687,-0.029329391,0.005439841,0.29,0.83,0.49,15844,10060.20,0,0,3,0.77,-3.50,0.98,0.29,0.83,0.49
11.331055,0.011593686,-0.035329394,0.00343984,0.29,0.83,0.49,15866,10060.90,0,0,3,0.49,-3.92,0.84,0.29,0.83,0.49
12.331055,0.016593685,-0.043329395,0.0064398404,0.28,0.83,0.49,15881,10061.90,0,0,3,0.84,-4.48,1.05,0.28,0.83,0.49
10.331055,0.037593685,-0.068329394,0.025439844,0.28,0.83,0.49,15905,10059.90,0,0,3,2.31,-6.23,2.38,0.28,0.83,0.49
13.331055,0.088593684,-0.11132939,0.07143984,0.28,0.83,0.5,15920,10062.90,0,0,3,5.88,-9.24,5.60,0.28,0.83,0.50
12.030273,0.110593684,-0.11232939,0.07143984,0.29,0.84,0.49,15942,10061.60,0,0,3,7.42,-9.31,5.60,0.29,0.84,0.49
12.331055,0.07359368,-0.069329396,0.03243984,0.3,0.83,0.48,15971,10061.90,0,0,3,4.83,-6.30,2.87,0.30,0.83,0.48
12.331055,0.036593687,-0.01232939,0.0064398404,0.29,0.84,0.48,15986,10061.90,0,0,3,2.24,-2.31,1.05,0.29,0.84,0.48
11.630859,0.019593686,-0.004329391,0.0014398405,0.29,0.83,0.48,16016,10061.20,0,0,3,1.05,-1.75,0.70,0.29,0.83,0.48
10.630859,0.005593687,-0.0013293903,-0.0055601597,0.29,0.84,0.48,16031,10060.20,0,0,3,0.07,-1.54,0.21,0.29,0.84,0.48
10.630859,0.030593688,-0.022329392,0.015439839,0.29,0.84,0.48,16047,10060.20,0,0,3,1.82,-3.01,1.68,0.29,0.84,0.48
9.630859,0.031593688,-0.022329392,0.01143984,0.29,0.84,0.49,16069,10059.20,0,0,3,1.89,-3.01,1.40,0.29,0.84,0.49
11.630859,0.020593688,-0.013329392,-0.007560159,0.3,0.84,0.48,16083,10061.20,0,0,3,1.12,-2.38,0.07,0.30,0.84,0.48
12.730469,0.019593686,-0.015329389,-0.01056016,0.3,0.84,0.48,16098,10062.30,0,0,3,1.05,-2.52,-0.14,0.30,0.84,0.48
10.630859,-0.025406312,0.0036706086,-0.01856016,0.29,0.85,0.48,16114,10060.20,0,0,3,-2.10,-1.19,-0.70,0.29,0.85,0.48
14.331055,5.936865E-4,-0.0023293905,-0.017560158,0.29,0.83,0.48,16129,10063.90,0,0,3,-0.28,-1.61,-0.63,0.29,0.83,0.48
14.730469,0.024593687,-0.02532939,-5.6015886E-4,0.29,0.84,0.48,16152,10064.30,0,0,3,1.40,-3.22,0.56,0.29,0.84,0.48
17.030273,0.046593685,-0.053329393,0.014439841,0.3,0.84,0.48,16174,10066.60,0,0,3,2.94,-5.18,1.61,0.30,0.84,0.48
10.630859,0.029593688,-0.026329389,0.008439842,0.3,0.83,0.48,16196,10060.20,0,0,3,1.75,-3.29,1.19,0.30,0.83,0.48
14.331055,0.014593687,-0.014329391,0.00343984,0.3,0.83,0.48,16212,10063.90,0,0,3,0.70,-2.45,0.84,0.30,0.83,0.48
13.730469,0.0015936869,0.004670609,-5.6015886E-4,0.3,0.84,0.47,16241,10063.30,0,0,3,-0.21,-1.12,0.56,0.30,0.84,0.47
13.030273,0.005593687,-0.011329392,0.0074398415,0.3,0.83,0.48,16264,10062.60,0,0,3,0.07,-2.24,1.12,0.30,0.83,0.48
12.030273,0.025593687,-0.01932939,0.02043984,0.3,0.83,0.48,16280,10061.60,0,0,3,1.47,-2.80,2.03,0.30,0.83,0.48
9.630859,0.044593684,-0.026329389,0.036439843,0.3,0.84,0.48,16301,10059.20,0,0,3,2.80,-3.29,3.15,0.30,0.84,0.48
8.030273,0.037593685,-0.0073293913,0.03743984,0.3,0.84,0.48,16324,10057.60,0,0,3,2.31,-1.96,3.22,0.30,0.84,0.48
7.0302734,0.056593686,-0.035329394,0.04643984,0.3,0.85,0.48,16331,10056.60,0,0,3,3.64,-3.92,3.85,0.30,0.85,0.48
1.9306641,0.059593685,-0.03632939,0.047439843,0.3,0.84,0.47,16347,10051.50,0,0,3,3.85,-3.99,3.92,0.30,0.84,0.47
1.3310547,0.061593685,-0.02332939,0.041439842,0.3,0.84,0.47,16361,10050.90,0,0,3,3.99,-3.08,3.50,0.30,0.84,0.47
0.93066406,0.057593685,-0.02332939,0.03343984,0.31,0.84,0.47,16383,10050.50,0,0,3,3.71,-3.08,2.94,0.31,0.84,0.47
-4.069336,0.047593687,-0.011329392,0.029439844,0.3,0.84,0.47,16406,10045.50,0,0,3,3.01,-2.24,2.66,0.30,0.84,0.47
-2.069336,0.016593685,0.015670609,0.014439841,0.3,0.85,0.47,16421,10047.50,0,0,3,0.84,-0.35,1.61,0.30,0.85,0.47
-3.069336,0.017593687,0.0076706093,-0.004560159,0.3,0.83,0.47,16444,10046.50,0,0,3,0.91,-0.91,0.28,0.30,0.83,0.47
-4.069336,-0.024406312,0.026670609,-0.008560159,0.3,0.83,0.48,16466,10045.50,0,0,3,-2.03,0.42,0.00,0.30,0.83,0.48
-5.069336,-0.023406314,0.012670609,0.019439843,0.31,0.84,0.48,16488,10044.50,0,0,3,-1.96,-0.56,1.96,0.31,0.84,0.48
-7.069336,0.0065936865,0.00867061,0.02143984,0.3,0.86,0.47,16511,10042.50,0,0,3,0.14,-0.84,2.10,0.30,0.86,0.47
-7.069336,0.008593687,0.017670609,0.0074398415,0.3,0.85,0.47,16533,10042.50,0,0,3,0.28,-0.21,1.12,0.30,0.85,0.47
-4.6689453,0.009593686,0.028670609,0.00343984,0.3,0.84,0.47,16549,10044.90,0,0,3,0.35,0.56,0.84,0.30,0.84,0.47
-6.7695312,0.0075936867,0.02067061,0.005439841,0.3,0.84,0.47,16571,10042.80,0,0,3,0.21,0.00,0.98,0.30,0.84,0.47
-5.6689453,0.0025936866,0.02367061,-0.001560159,0.29,0.84,0.47,16586,10043.90,0,0,3,-0.14,0.21,0.49,0.29,0.84,0.47
-5.6689453,0.009593686,0.02367061,-0.0025601597,0.3,0.84,0.47,16616,10043.90,0,0,3,0.35,0.21,0.42,0.30,0.84,0.47
-3.6689453,0.021593688,0.01167061,0.008439842,0.3,0.84,0.47,16617,10045.90,0,0,3,1.19,-0.63,1.19,0.30,0.84,0.47
-4.6689453,0.023593688,0.012670609,0.0064398404,0.3,0.85,0.47,16631,10044.90,0,0,3,1.33,-0.56,1.05,0.30,0.85,0.47
-3.6689453,0.020593688,0.02967061,-0.0025601597,0.3,0.84,0.47,16654,10045.90,0,0,3,1.12,0.63,0.42,0.30,0.84,0.47
-4.6689453,0.0065936865,0.04167061,-0.013560159,0.3,0.83,0.47,16675,10044.90,0,0,3,0.14,1.47,-0.35,0.30,0.83,0.47
-2.6689453,-0.009406313,0.02467061,-0.0055601597,0.3,0.84,0.47,16699,10046.90,0,0,3,-0.98,0.28,0.21,0.30,0.84,0.47
-1.6689453,-0.015406312,0.017670609,0.0024398407,0.29,0.84,0.47,16721,10047.90,0,0,3,-1.40,-0.21,0.77,0.29,0.84,0.47
-1.3691406,-0.0074063125,0.02967061,-0.001560159,0.29,0.84,0.47,16736,10048.20,0,0,3,-0.84,0.63,0.49,0.29,0.84,0.47
-1.6689453,0.009593686,0.02067061,-5.6015886E-4,0.29,0.84,0.47,16758,10047.90,0,0,3,0.35,0.00,0.56,0.29,0.84,0.47
1.6308594,0.0035936865,0.01467061,-0.0035601594,0.29,0.85,0.47,16780,10051.20,0,0,3,-0.07,-0.42,0.35,0.29,0.85,0.47
-0.6689453,-0.004406313,0.02067061,-0.0055601597,0.3,0.84,0.47,16796,10048.90,0,0,3,-0.63,0.00,0.21,0.30,0.84,0.47
-0.36914062,-0.020406313,0.01967061,-0.0055601597,0.29,0.84,0.47,16811,10049.20,0,0,3,-1.75,-0.07,0.21,0.29,0.84,0.47
-0.36914062,5.936865E-4,0.0036706086,0.008439842,0.29,0.84,0.47,16833,10049.20,0,0,3,-0.28,-1.19,1.19,0.29,0.84,0.47
-2.6689453,-0.0074063125,0.004670609,0.010439842,0.28,0.84,0.47,16849,10046.90,0,0,3,-0.84,-1.12,1.33,0.28,0.84,0.47
1.6308594,0.0025936866,0.0036706086,0.015439839,0.29,0.85,0.47,16863,10051.20,0,0,3,-0.14,-1.19,1.68,0.29,0.85,0.47
2.3310547,0.018593688,0.0036706086,0.017439842,0.29,0.84,0.47,16878,10051.90,0,0,3,0.98,-1.19,1.82,0.29,0.84,0.47
2.6308594,0.005593687,0.006670609,0.010439842,0.29,0.84,0.47,16916,10052.20,0,0,3,0.07,-0.98,1.33,0.29,0.84,0.47
3.6308594,-0.010406313,0.02167061,0.0074398415,0.29,0.84,0.47,16932,10053.20,0,0,3,-1.05,0.07,1.12,0.29,0.84,0.47
4.3310547,-0.018406313,0.02767061,0.0024398407,0.29,0.84,0.47,16947,10053.90,0,0,3,-1.61,0.49,0.77,0.29,0.84,0.47
5.0302734,-0.0024063135,0.00567061,0.01143984,0.29,0.84,0.47,16961,10054.60,0,0,3,-0.49,-1.05,1.40,0.29,0.84,0.47
5.6308594,0.008593687,-0.017329393,0.0124398405,0.29,0.84,0.47,16984,10055.20,0,0,3,0.28,-2.66,1.47,0.29,0.84,0.47
7.6308594,0.008593687,-0.02132939,0.0074398415,0.29,0.85,0.47,17006,10057.20,0,0,3,0.28,-2.94,1.12,0.29,0.85,0.47
9.030273,-0.0024063135,6.7061E-4,-0.008560159,0.29,0.85,0.47,17029,10058.60,0,0,3,-0.49,-1.40,0.00,0.29,0.85,0.47
10.030273,-0.011406314,0.01067061,-0.024560161,0.29,0.84,0.47,17059,10059.60,0,0,3,-1.12,-0.70,-1.12,0.29,0.84,0.47
12.030273,-0.017406313,0.006670609,-0.023560159,0.29,0.84,0.47,17066,10061.60,0,0,3,-1.54,-0.98,-1.05,0.29,0.84,0.47
13.030273,-0.017406313,-0.00832939,-0.01856016,0.29,0.83,0.48,17081,10062.60,0,0,3,-1.54,-2.03,-0.70,0.29,0.83,0.48
12.630859,-0.012406314,-0.015329389,-0.0035601594,0.29,0.84,0.48,17097,10062.20,0,0,3,-1.19,-2.52,0.35,0.29,0.84,0.48
16.030273,-0.014406314,-0.00932939,0.005439841,0.29,0.84,0.48,17112,10065.60,0,0,3,-1.33,-2.10,0.98,0.29,0.84,0.48
15.730469,-0.009406313,-3.2939017E-4,0.00343984,0.29,0.85,0.47,17142,10065.30,0,0,3,-0.98,-1.47,0.84,0.29,0.85,0.47
18.030273,-0.0074063125,0.015670609,-0.01056016,0.28,0.85,0.47,17150,10067.60,0,0,3,-0.84,-0.35,-0.14,0.28,0.85,0.47
21.730469,0.0015936869,-0.0023293905,-0.019560158,0.29,0.84,0.47,17172,10071.30,0,0,3,-0.21,-1.61,-0.77,0.29,0.84,0.47
22.331055,0.0065936865,-0.005329391,-0.024560161,0.29,0.84,0.47,17202,10071.90,0,0,3,0.14,-1.82,-1.12,0.29,0.84,0.47
25.730469,0.012593687,-0.00832939,-0.015560159,0.29,0.84,0.48,17232,10075.30,0,0,3,0.56,-2.03,-0.49,0.29,0.84,0.48
28.030273,0.013593687,-0.014329391,-5.6015886E-4,0.29,0.83,0.48,17239,10077.60,0,0,3,0.63,-2.45,0.56,0.29,0.83,0.48
29.030273,0.010593686,0.0016706083,0.008439842,0.29,0.84,0.48,17262,10078.60,0,0,3,0.42,-1.33,1.19,0.29,0.84,0.48
31.030273,0.022593686,0.004670609,0.019439843,0.3,0.85,0.48,17277,10080.60,0,0,3,1.26,-1.12,1.96,0.30,0.85,0.48
30.030273,0.008593687,0.0026706103,0.015439839,0.29,0.85,0.48,17299,10079.60,0,0,3,0.28,-1.26,1.68,0.29,0.85,0.48
31.030273,0.0025936866,0.01067061,0.008439842,0.29,0.84,0.48,17314,10080.60,0,0,3,-0.14,-0.70,1.19,0.29,0.84,0.48
30.430664,-0.2484063,0.01967061,0.0074398415,0.29,0.85,0.48,17336,10080.00,0,0,3,-17.71,-0.07,1.12,0.29,0.85,0.48
28.730469,0.0075936867,0.02267061,4.3984037E-4,0.29,0.85,0.48,17359,10078.30,0,0,3,0.21,0.14,0.63,0.29,0.85,0.48
28.030273,0.013593687,0.02367061,0.0014398405,0.29,0.84,0.48,17366,10077.60,0,0,3,0.63,0.21,0.70,0.29,0.84,0.48
28.030273,0.005593687,0.02367061,-0.006560159,0.29,0.84,0.48,17388,10077.60,0,0,3,0.07,0.21,0.14,0.29,0.84,0.48
29.030273,-0.008406313,0.03067061,-0.013560159,0.29,0.84,0.47,17404,10078.60,0,0,3,-0.91,0.70,-0.35,0.29,0.84,0.47
28.430664,-0.009406313,0.02467061,-0.012560159,0.29,0.84,0.47,17426,10078.00,0,0,3,-0.98,0.28,-0.28,0.29,0.84,0.47
27.730469,-0.0074063125,0.013670609,-0.013560159,0.29,0.84,0.47,17449,10077.30,0,0,3,-0.84,-0.49,-0.35,0.29,0.84,0.47
27.430664,-0.029406315,0.02267061,-0.02756016,0.29,0.84,0.48,17464,10077.00,0,0,3,-2.38,0.14,-1.33,0.29,0.84,0.48
27.430664,-0.019406311,0.015670609,-0.020560158,0.29,0.84,0.48,17486,10077.00,0,0,3,-1.68,-0.35,-0.84,0.29,0.84,0.48
26.430664,-0.016406313,0.004670609,-0.01656016,0.29,0.84,0.48,17508,10076.00,0,0,3,-1.47,-1.12,-0.56,0.29,0.84,0.48
26.430664,-0.012406314,6.7061E-4,-0.0025601597,0.29,0.84,0.48,17531,10076.00,0,0,3,-1.19,-1.40,0.42,0.29,0.84,0.48
26.430664,-0.016406313,0.00567061,-0.006560159,0.28,0.84,0.48,17554,10076.00,0,0,3,-1.47,-1.05,0.14,0.28,0.84,0.48
24.430664,-0.012406314,-0.0023293905,-5.6015886E-4,0.29,0.84,0.48,17569,10074.00,0,0,3,-1.19,-1.61,0.56,0.29,0.84,0.48
25.430664,-4.0631322E-4,-0.0073293913,0.004439841,0.28,0.84,0.48,17583,10075.00,0,0,3,-0.35,-1.96,0.91,0.28,0.84,0.48
25.030273,-0.0034063137,-0.005329391,4.3984037E-4,0.28,0.84,0.48,17599,10074.60,0,0,3,-0.56,-1.82,0.63,0.28,0.84,0.48
25.430664,-0.0024063135,0.0076706093,-0.0035601594,0.28,0.84,0.48,17614,10075.00,0,0,3,-0.49,-0.91,0.35,0.28,0.84,0.48
24.730469,-0.010406313,0.01967061,-0.007560159,0.28,0.84,0.48,17636,10074.30,0,0,3,-1.05,-0.07,0.07,0.28,0.84,0.48
24.430664,-4.0631322E-4,0.0076706093,-5.6015886E-4,0.28,0.84,0.48,17658,10074.00,0,0,3,-0.35,-0.91,0.56,0.28,0.84,0.48
24.730469,0.0045936867,6.7061E-4,0.0024398407,0.28,0.84,0.48,17673,10074.30,0,0,3,0.00,-1.40,0.77,0.28,0.84,0.48
